"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"	"model"
"GO:0034199"	2.49981099709855e-05	0.204674584372374	0.0579961728468733	0.00012310435881849	0.734676777017951	0.000106437050494324	2.76913605607613e-05	8.47933189483391e-05	0.00228544156400906	"0.734676777017951"	"5"	"HCGanc-to-anc"
"GO:0034198"	0.0016365761772724	0.0220226409626224	0.111819869352943	0.00126849575400513	0.552107981297967	0.000834612449922097	0.00062181696876426	0.0138313750903339	0.29585663194617	"0.552107981297967"	"5"	"HCGanc-to-anc"
"GO:0030855"	0.0013596091625158	0.0102588890965714	0.201788375605044	0.0300566652408488	0.000757515837545287	0.0011981384405197	0.000746367703212581	0.0269323212640225	0.72690211764972	"0.72690211764972"	"9"	"OU"
"GO:0031100"	2.52634938938677e-05	0.015478045967082	0.00521717681568269	9.87438431335734e-06	0.285753604967296	0.000101562896278254	0.00031375317379447	0.000222298039484756	0.692878420262175	"0.692878420262175"	"9"	"OU"
"GO:0050830"	6.53397384211265e-18	7.04968961269577e-08	0.298167322492727	3.69593303168783e-18	0.701832583975571	4.11446204729895e-18	5.19811347856762e-17	5.9886891083296e-16	2.30348045386192e-08	"0.701832583975571"	"5"	"HCGanc-to-anc"
"GO:0050839"	2.85911037378913e-10	1.22429277943494e-05	0.000296391229506696	1.13625250644099e-10	0.00403151457454105	6.98092138558066e-10	2.80413626788148e-10	4.17213324166712e-07	0.995659432676792	"0.995659432676792"	"9"	"OU"
"GO:0051781"	1.02997040776418e-17	4.82499372254174e-10	0.999997805251399	2.03753446667616e-07	5.08596869799244e-12	1.64545206436519e-15	1.34623163854889e-16	3.74010696931351e-14	1.99050752927578e-06	"0.999997805251399"	"3"	"HCanc-to-anc"
"GO:0010906"	0.087859207023495	0.0787721165650602	0.196788439533365	0.0734347690097591	0.351276310745963	0.0359773047205506	0.0325476920905359	0.115210788777636	0.0281333715336361	"0.351276310745963"	"5"	"HCGanc-to-anc"
"GO:0046658"	3.10900226842988e-07	8.96465882991224e-05	0.0022680146143595	1.45394080184256e-07	0.47243509975841	2.06447860469287e-07	1.8480717374956e-07	2.33996213334805e-05	0.525182991868257	"0.525182991868257"	"9"	"OU"
"GO:0046655"	0.017434618168794	0.0188004596228161	0.0840575618643684	0.0200596493265155	0.664532332228713	0.00642071629356194	0.0113581652073599	0.0120871785185468	0.165249318769324	"0.664532332228713"	"5"	"HCGanc-to-anc"
"GO:0005719"	0.000427167966556526	0.0827903900694333	0.341331891973481	0.0102708160704836	0.0933059656919658	0.000158550665510125	0.0138043357388745	0.00151259879308915	0.456398283030606	"0.456398283030606"	"9"	"OU"
"GO:0051879"	0.0578492671397289	0.0427705350820403	0.041236244885812	0.0228767048018764	0.451308988259597	0.0420488338064013	0.0233698199403086	0.0461613775634966	0.272378228520739	"0.451308988259597"	"5"	"HCGanc-to-anc"
"GO:0007626"	2.12377407991844e-27	3.39579122177319e-10	0.00154362953993144	8.98226959513961e-19	0.434074493731641	8.59822951917449e-28	8.7583688069261e-19	2.39129113082294e-21	0.564381876388849	"0.564381876388849"	"9"	"OU"
"GO:0007623"	2.64228585479113e-08	0.00636480792665908	0.992718591225649	0.00057799752152273	6.1277416258996e-08	9.79545602503506e-09	3.61496759577549e-08	0.000264677926799834	7.37917539623797e-05	"0.992718591225649"	"3"	"HCanc-to-anc"
"GO:0006629"	2.71762824779258e-16	3.02269484695985e-15	5.24454344021951e-14	5.96613707360194e-16	1.8919794827749e-06	0.0185325334620056	2.7431826405322e-06	0.978481880928469	0.00298095044734542	"0.978481880928469"	"8"	"Monkey-to-anc"
"GO:0006626"	0.00013640120340052	0.0359679559283169	0.04108652604721	0.000139478882567088	0.110662364300985	5.44592331112219e-05	9.64138746759362e-05	0.00215933601120482	0.809697064518529	"0.809697064518529"	"9"	"OU"
"GO:0007628"	1.29267475860264e-09	6.93333567617718e-06	5.24530884626875e-10	1.84021078070839e-07	6.14220627877467e-07	0.983698366236608	1.32693090814748e-08	7.92246951356336e-07	0.0162930948525436	"0.983698366236608"	"6"	"Orang-to-anc"
"GO:0036459"	0.000714640603774259	0.0244982140583917	0.0263724994813446	0.000575809348553786	0.0416638113505646	0.000616370854419321	0.000784558174955135	0.00574473757412147	0.899029358553875	"0.899029358553875"	"9"	"OU"
"GO:0030674"	8.98264749700237e-23	5.03199957376576e-14	1.53534695723273e-07	3.30263851846172e-20	0.999624452055608	3.51726039556923e-23	2.93079592926065e-21	4.39281053297552e-18	0.000375394409646336	"0.999624452055608"	"5"	"HCGanc-to-anc"
"GO:0030672"	8.97480652041972e-19	1.5387195287981e-10	5.0965130098958e-05	6.36274688121575e-10	2.64373802402503e-09	1.1151620520428e-17	3.88540975377489e-18	5.60826774517569e-13	0.999949031435456	"0.999949031435456"	"9"	"OU"
"GO:0030673"	7.4266962286682e-10	1.07641136728216e-05	1.86293104411331e-05	7.20896448577165e-10	0.969746690012999	3.12454433403025e-10	7.57411889757598e-10	5.72757760970136e-08	0.0302238567536791	"0.969746690012999"	"5"	"HCGanc-to-anc"
"GO:0030670"	6.10448184320248e-16	1.3013281571012e-10	7.86959728980233e-11	3.56744914747751e-16	0.0310644465067333	8.52840369511306e-14	5.39683267850804e-13	1.01027447058405e-12	0.968935553282802	"0.968935553282802"	"9"	"OU"
