"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"	"model"
"GO:0034199"	0.000454354180554307	0.655486608806334	0.120614763052083	0.188799738439033	0.00222465949471947	0.000227538168887012	0.000453576289152288	0.0106264438614989	0.0211123177077377	"0.655486608806334"	"2"	"Chimp-to-anc"
"GO:0034198"	2.5366731029858e-07	0.0188600786577945	0.00996995438096747	5.48834338381059e-05	0.000891858717251145	1.08116565994952e-07	1.19815980328297e-06	5.53714835287322e-05	0.97016629338294	"0.97016629338294"	"9"	"OU"
"GO:0030855"	6.25648680854754e-32	8.32684781431856e-20	0.000167517558961396	0.99983248244074	1.55067391550332e-26	3.54366000941818e-25	5.79115739324878e-27	3.88824916451721e-26	2.98442388235465e-13	"0.99983248244074"	"4"	"Gorilla-to-anc"
"GO:0031103"	0.000407669811291055	0.0494795086813224	0.444652629753274	0.415723334198844	0.000687721114928048	0.000164046636131087	0.000720031002843947	0.00475697636585983	0.0834080824355055	"0.444652629753274"	"3"	"HCanc-to-anc"
"GO:0031100"	3.64462035115307e-10	0.00566672704224151	0.00233652521905495	1.69511553870399e-07	0.00125032824711522	5.25700357177462e-10	9.85963078773116e-08	4.11823415770008e-06	0.990742032259406	"0.990742032259406"	"9"	"OU"
"GO:0050830"	2.36014459165218e-26	7.48024459052572e-11	0.999999999925198	8.61779534593326e-26	1.94433075275818e-26	3.6567255577399e-25	3.08187603475437e-25	2.36309211967181e-23	8.16393876180878e-20	"0.999999999925198"	"3"	"HCanc-to-anc"
"GO:0050839"	1.63647685219981e-30	1.10562483176219e-10	0.999115921843961	0.000884078045475999	6.6547271417122e-31	7.89741356432551e-29	2.32511158270478e-26	3.74127185194837e-25	1.22810183828719e-22	"0.999115921843961"	"3"	"HCanc-to-anc"
"GO:0051781"	7.73378513433908e-06	9.13723996793975e-05	0.0354617742368028	0.000594543609972543	0.214416783199518	3.23785827818392e-05	2.99600867104525e-06	0.000960443719641726	0.748431974457799	"0.748431974457799"	"9"	"OU"
"GO:0010906"	1.95638569674686e-07	0.000128899056551634	0.545102030347872	4.657489979514e-05	0.0854881893460973	2.23307705592806e-07	2.6758916354406e-07	6.89536525633091e-06	0.369226724448988	"0.545102030347872"	"3"	"HCanc-to-anc"
"GO:0046658"	3.89622681294265e-07	6.53476941245794e-05	0.202830167097035	0.000152169473693681	0.462897672935661	8.07279716952285e-07	1.07233664117036e-06	1.01516757478649e-05	0.334042221884698	"0.462897672935661"	"5"	"HCGanc-to-anc"
"GO:0046655"	0.000136955063956943	0.00398365180485678	0.376195720652845	0.612742748310417	0.000677565226055571	0.000243234059967867	0.00211980961025505	0.000230524547535041	0.00366979072411001	"0.612742748310417"	"4"	"Gorilla-to-anc"
"GO:0005719"	6.79697576941728e-18	3.35158643747665e-09	0.203535906674388	0.796464088671193	1.18401586491614e-15	9.27688837517515e-15	3.35476082644104e-15	1.98377829854073e-15	1.3028164555871e-09	"0.796464088671193"	"4"	"Gorilla-to-anc"
"GO:0051879"	3.99129101749646e-15	6.05003066281538e-09	0.938318979324547	0.0616809699501067	3.85409323240986e-12	2.87869284313858e-13	4.48609464271512e-12	2.8657622243841e-13	4.46663969445934e-08	"0.938318979324547"	"3"	"HCanc-to-anc"
"GO:0007626"	8.01019698756664e-48	1.67781539103321e-18	0.0340477509822496	0.96595224901775	2.3461604088151e-47	7.53547846353018e-46	3.8138176782465e-39	2.07042181802947e-39	1.59561841790214e-29	"0.96595224901775"	"4"	"Gorilla-to-anc"
