"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"	"model"
"GO:0034199"	0.0274417906595231	0.142927729050735	0.226465574231483	0.0458884151872552	0.0952991174039405	0.0103387547952666	0.0101476205768288	0.196121088655185	0.245369909439783	"0.245369909439783"	"9"	"OU"
"GO:0034198"	0.0215176665715557	0.159272414378989	0.00822493103784881	0.0096295141569582	0.0502844402848435	0.0778118281693534	0.00804860096941069	0.214277569335837	0.450933035095203	"0.450933035095203"	"9"	"OU"
"GO:0030855"	5.50064404578614e-05	0.000204892008485755	6.37167956922794e-05	2.55406051083065e-05	0.997622769110278	0.0016248055763976	2.58502971755254e-05	0.000357315745274638	2.0103421130411e-05	"0.997622769110278"	"5"	"HCGanc-to-anc"
"GO:0031103"	4.43187662996641e-07	5.83296025675401e-06	0.00883284354398233	0.990960476776147	9.90875799971993e-07	9.53402731962683e-05	2.52437518565108e-06	1.12018538214844e-06	0.000100427822386575	"0.990960476776147"	"4"	"Gorilla-to-anc"
"GO:0031100"	7.85155429146875e-20	1.24879874830205e-13	2.61854852174348e-09	1.63444656681712e-17	0.998482279526492	2.89359945075392e-20	1.19317388258241e-16	1.5727914218175e-16	0.00151771785483406	"0.998482279526492"	"5"	"HCGanc-to-anc"
"GO:0050830"	4.38825355345894e-15	0.999995254478172	4.74248186273551e-06	5.22311683952995e-15	4.6126457342472e-13	1.91986267563411e-15	1.66860850235745e-15	6.64465843260023e-13	3.03882691996844e-09	"0.999995254478172"	"2"	"Chimp-to-anc"
"GO:0050839"	4.26067554521052e-14	1.13370149423469e-06	0.999928090604479	7.0756484634252e-05	1.59707429517395e-14	1.81635650428307e-14	8.83019268025115e-13	1.62743127538561e-09	1.75810016095544e-08	"0.999928090604479"	"3"	"HCanc-to-anc"
"GO:0051781"	3.57922612505133e-05	0.00619235865041733	0.815602770927976	0.122304270335284	8.58185085986628e-05	1.32739713167442e-05	0.000404714984602999	0.000388825483703022	0.0549721748768507	"0.815602770927976"	"3"	"HCanc-to-anc"
"GO:0010906"	0.191285208049784	0.129681333108411	0.0788725938673378	0.118262803598425	0.117285270472683	0.0746620563134699	0.071186508465649	0.149389042283204	0.0693751838410348	"0.191285208049784"	"1"	"Human-to-anc"
"GO:0046658"	0.079406268012823	0.0434797322955287	0.0563326237331906	0.0304642901142892	0.170163827976545	0.0393230688973252	0.048835771151188	0.153745437960755	0.378248979858356	"0.378248979858356"	"9"	"OU"
"GO:0046655"	3.72006290271873e-12	1.13081192436099e-08	0.00359885987091556	0.996399664792156	5.14682999102264e-11	5.04458813690258e-10	6.71665535354166e-10	4.92630209599488e-11	1.46274823385915e-06	"0.996399664792156"	"4"	"Gorilla-to-anc"
