"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"GO:0034199"	1.27165103632081e-05	0.0147557274766037	0.955928096914303	0.0102583466994254	1.48739815106044e-05	5.92854733989501e-06	1.73813405185992e-05	0.000408119852556676	0.0185988086773792
"GO:0034198"	0.0001113817846675	0.984703609756755	0.000633161910739515	0.000936386257021645	0.000185259318499401	4.87434625948825e-05	5.69790406924656e-05	0.00519319656528847	0.00813128190374133
"GO:0030855"	2.46344673460451e-08	0.140401313981143	0.0987268322166179	2.72704163474118e-05	0.280066020685046	3.22756947600238e-08	5.28925649048402e-05	0.00028868072864621	0.480436932497133
"GO:0031103"	8.33045156784765e-09	0.0002201196415468	0.358549110116799	0.641229089374206	3.06490414260359e-09	1.13138420780598e-07	1.7619971389316e-08	2.45802822466007e-07	1.29291087799824e-06
"GO:0031100"	9.50243655761279e-53	1.67778758760145e-28	0.000106601384762568	0.999893398615238	1.02975763863498e-47	2.03462144157582e-44	1.77519122013e-44	2.05578817236661e-45	9.22810305280776e-31
"GO:0050830"	2.00948478610478e-09	0.999968506620446	2.12181106564968e-09	9.13863133488981e-10	1.11192937196845e-05	4.98841422399738e-06	3.15913318117791e-09	1.41309914925575e-07	1.52361574027669e-05
"GO:0050839"	2.30114729087356e-38	1.07314224259222e-25	1.60846419016421e-07	0.999999839153581	2.36961549796652e-35	1.47254729581851e-31	9.68360069364645e-34	1.13525775960747e-32	7.69867700201499e-22
"GO:0051781"	0.00576008991108179	0.00406808840041772	0.0188114380457382	0.123346996483104	0.00321516219215788	0.837840147510988	0.00214110535652671	0.0048167543948432	2.17705142975993e-07
"GO:0010906"	0.0061600509777419	0.0183294486439226	0.0832486284086778	0.557524382955739	0.00958230074639019	0.00378760637252746	0.00352792559857722	0.305999131770881	0.0118405245255432
"GO:0046658"	1.92551910194907e-15	2.87133445531321e-10	0.00997386801541171	0.990026131448397	3.56090490989338e-15	1.07198963938516e-13	2.10149521755269e-14	3.00541818243792e-13	2.48623895312588e-10
"GO:0046655"	4.2428327464688e-18	3.29241172228758e-10	0.059575305894793	0.94042469373387	2.55936350329265e-17	5.83740493914467e-17	7.42022806521815e-16	7.2365810278706e-16	4.20938890873215e-11
"GO:0005719"	0.000769796415618253	0.127049544887454	0.126485862257129	0.472188326905738	0.00274769703901908	0.000285279780012655	0.269841630827415	0.000591857517569682	4.0004370044973e-05
"GO:0051879"	7.52361673267058e-17	2.31327358898116e-09	0.999953198665684	3.36863850643229e-05	3.34610015519393e-10	8.38328289959202e-15	1.46451090471865e-13	4.50913553266245e-14	1.31123011677645e-05
"GO:0007626"	8.78017855114412e-21	0.0209791379071279	9.14222890715603e-07	0.979019947869962	6.50589917825807e-19	1.15482274142786e-14	1.73666431122484e-19	8.18125873960141e-15	5.49616991985876e-18
"GO:0007623"	3.91414370861446e-12	0.999523580793423	3.08812840523206e-06	5.41620738963471e-07	1.12476206530265e-06	3.18598163052778e-12	4.54521085235071e-11	5.07492478381295e-05	0.000420915394977205
"GO:0006629"	7.66654211594944e-38	1.90147755409113e-19	0.999275943169527	0.000724054142017926	5.31147329370571e-25	2.31213127908735e-30	1.51914176450563e-27	5.68325668695686e-31	2.68845530647397e-09
"GO:0006626"	8.00541284050344e-13	9.41442633709159e-08	0.00370924537057315	0.99629065950473	2.742397664492e-12	2.06841192173204e-10	1.75916802104062e-10	2.70163656515614e-11	5.67115718789472e-10
"GO:0007628"	5.51476969074607e-14	4.43245181372761e-08	0.0737985582453191	0.926197813546304	1.03083239426385e-12	8.61017155102625e-14	4.13397896194368e-11	1.40176605361299e-11	3.58382732890385e-06
