"group"	"nsiggenes"	"ngenes"	"pval"	"sig"
"1"	"GO:0005521"	"0"	"17"	"1"	"FALSE"
"2"	"GO:0006904"	"0"	"26"	"1"	"FALSE"
"3"	"GO:0030863"	"1"	"20"	"0.210293849620694"	"FALSE"
"4"	"GO:0030955"	"0"	"15"	"1"	"FALSE"
"5"	"GO:0033276"	"0"	"14"	"1"	"TRUE"
"6"	"GO:0035097"	"0"	"23"	"1"	"FALSE"
"7"	"GO:0043034"	"0"	"19"	"1"	"FALSE"
"8"	"GO:0046513"	"0"	"23"	"1"	"FALSE"
"9"	"GO:0048813"	"0"	"32"	"1"	"FALSE"
"10"	"GO:0051968"	"0"	"17"	"1"	"FALSE"
"11"	"GO:0060337"	"4"	"63"	"0.00697719825847699"	"FALSE"
"12"	"GO:0060999"	"0"	"21"	"1"	"FALSE"
"13"	"GO:0002026"	"2"	"18"	"0.0208657026559467"	"FALSE"
"14"	"GO:0006418"	"0"	"40"	"1"	"TRUE"
"15"	"GO:0006506"	"0"	"26"	"1"	"FALSE"
"16"	"GO:0006801"	"1"	"18"	"0.192344726251479"	"FALSE"
"17"	"GO:0006904"	"0"	"26"	"1"	"FALSE"
"18"	"GO:0007271"	"0"	"34"	"1"	"FALSE"
"19"	"GO:0007346"	"0"	"35"	"1"	"FALSE"
"20"	"GO:0007398"	"0"	"14"	"1"	"FALSE"
"21"	"GO:0010971"	"0"	"18"	"1"	"FALSE"
"22"	"GO:0019843"	"2"	"36"	"0.0676355294819968"	"FALSE"
"23"	"GO:0030126"	"0"	"13"	"1"	"FALSE"
"24"	"GO:0030134"	"0"	"20"	"1"	"TRUE"
"25"	"GO:0030279"	"0"	"17"	"1"	"FALSE"
"26"	"GO:0030518"	"0"	"16"	"1"	"FALSE"
"27"	"GO:0030667"	"0"	"21"	"1"	"FALSE"
"28"	"GO:0030904"	"0"	"22"	"1"	"FALSE"
"29"	"GO:0031624"	"0"	"31"	"1"	"FALSE"
"30"	"GO:0031641"	"0"	"15"	"1"	"FALSE"
"31"	"GO:0042326"	"0"	"20"	"1"	"TRUE"
"32"	"GO:0043393"	"0"	"19"	"1"	"FALSE"
"33"	"GO:0043425"	"0"	"25"	"1"	"FALSE"
"34"	"GO:0043984"	"0"	"19"	"1"	"FALSE"
"35"	"GO:0047496"	"0"	"14"	"1"	"FALSE"
