"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"
"GO:0034199"	0.008201399	0.085538843	0.210086472	0.018289097	0.062638614	0.003108333	0.003662928	0.086789126	0.521685188	"0.521685188"	"9"
"GO:0030855"	6.07e-08	0.00021535	0.003961322	4.71e-06	0.000145351	2.6e-08	5.55e-08	0.000302014	0.995371112	"0.995371112"	"9"
"GO:0031100"	0.000446534	0.012196315	0.133627281	0.000739077	0.619899331	0.000207867	0.000450758	0.005193453	0.227239385	"0.619899331"	"5"
"GO:0050830"	5.36e-08	0.000482237	0.381006189	3.92e-05	0.000739154	2.48e-08	2.38e-07	1.26e-05	0.617720333	"0.617720333"	"9"
"GO:0050839"	3.71e-08	3.48e-05	0.989494422	0.000356504	5.04e-05	3.76e-08	1.57e-07	1.46e-06	0.01006221	"0.989494422"	"3"
"GO:0051781"	1.47e-06	0.000884994	0.018094521	1.94e-05	0.022006852	5.57e-07	6.98e-07	0.000620022	0.958371521	"0.958371521"	"9"
"GO:0010906"	0.000819565	0.002378953	0.061373125	0.00169864	0.102202142	0.000376369	0.000310395	0.009021595	0.821819216	"0.821819216"	"9"
"GO:0046658"	0.003164467	0.02209911	0.314596853	0.027481872	0.040414983	0.001217396	0.00216922	0.01722599	0.571630109	"0.571630109"	"9"
"GO:0005719"	0.011689165	0.164950991	0.02673072	0.004590483	0.474007806	0.005148611	0.008814545	0.02102809	0.283039589	"0.474007806"	"5"
"GO:0051879"	3.19e-10	0.000224962	0.00889178	2.92e-08	0.026351354	1.21e-10	1.71e-08	5.39e-08	0.964531803	"0.964531803"	"9"
"GO:0007626"	8.13e-08	2.94e-08	0.032030185	3.43e-06	0.012073234	2.99e-08	3.81e-08	0.006115305	0.94977767	"0.94977767"	"9"
"GO:0007625"	0.000793369	0.117864131	0.029237688	0.001737311	0.000386816	0.043643876	0.005650384	0.011190369	0.789496056	"0.789496056"	"9"
"GO:0007623"	3.49e-11	4.15e-06	1.26e-05	1.14e-10	0.00012386	6.77e-11	2.94e-11	5.57e-06	0.999853793	"0.999853793"	"9"
"GO:0006629"	1.54e-21	2.03e-12	7.27e-06	2.3e-15	5.17e-09	5.82e-22	1.28e-19	3.34e-14	0.999992721	"0.999992721"	"9"
"GO:0006626"	4.73e-05	0.008405939	0.003864228	4.43e-05	0.615650222	2.37e-05	5.88e-05	0.000841568	0.371063997	"0.615650222"	"5"
"GO:0036459"	3.65e-05	0.061425001	0.00531087	3.14e-05	0.235319481	2.91e-05	9.27e-05	0.001514523	0.696240423	"0.696240423"	"9"
"GO:0030674"	3.38e-12	3.94e-05	0.066301431	8.78e-09	4.53e-05	1.28e-12	9.05e-11	3.29e-08	0.933613894	"0.933613894"	"9"
"GO:0030672"	9.75e-10	3.73e-08	0.347941116	2.13e-06	0.179609216	4.32e-10	5.17e-08	3.8e-08	0.472447411	"0.472447411"	"9"
"GO:0030673"	4.59e-07	0.008199618	0.870481898	0.000529677	0.002076524	4.09e-07	9.35e-07	2.04e-05	0.118690113	"0.870481898"	"3"
"GO:0030670"	9.43e-18	3.41e-07	1.04e-06	6.18e-15	0.002243659	3.99e-18	2.4e-15	6.07e-13	0.997754962	"0.997754962"	"9"
"GO:0048384"	0.000199849	0.001684711	0.354489735	0.0007769	0.513518412	9.2e-05	0.000428333	0.000497914	0.128312118	"0.513518412"	"5"
"GO:0000288"	3.62e-08	2.85e-06	3.18e-05	1.86e-08	0.983396665	2.38e-08	3.89e-08	1.49e-06	0.0165671	"0.983396665"	"5"
"GO:0000289"	0.001211705	0.10603956	0.088447288	0.002432009	0.076349439	0.000512843	0.001231873	0.015499799	0.708275484	"0.708275484"	"9"
"GO:0000287"	1.82e-28	1.11e-13	1.48e-08	1.67e-18	7.53e-10	9.24e-29	2.05e-26	4.69e-17	0.999999984	"0.999999984"	"9"
"GO:0045070"	1.71e-09	7.43e-06	0.000249246	1.41e-08	0.983939793	6.5e-10	2.34e-08	2.89e-08	0.015803467	"0.983939793"	"5"
"GO:0000281"	1.65e-06	0.001036589	0.000745926	8.51e-07	0.001052596	9.89e-06	1.12e-06	0.000299065	0.996852323	"0.996852323"	"9"
"GO:0004993"	0.044539725	0.021217884	0.125584271	0.03752923	0.673564467	0.037051777	0.01655994	0.022804882	0.021147823	"0.673564467"	"5"
"GO:0055007"	0.066561506	0.055479603	0.271605913	0.369991184	0.02531279	0.047673803	0.024787364	0.12072985	0.017857987	"0.369991184"	"4"
