"Rank"	"CCDS_ID"	"GENE_NAME"	"CHR"	"DESCRIPTION"	"N_SPECIES"	"PVAL"	"QVAL"	"FST"	"dNdS_REF"
"1"	"1"	"CCDS1397.1"	"PTPRC"	"chr1"	"protein tyrosine phosphatase, receptor type, C"	5	3.1e-12	4.6e-08	0	0
"2"	"2"	"CCDS34388.1"	"MUC21"	"chr6"	"mucin 21, cell surface associated"	3	2.8e-11	1.89e-07	0.0585	0
"3"	"3"	"CCDS42541.1"	"ZNF91"	"chr19"	"zinc finger protein 91"	4	4.17e-11	1.89e-07	0.126	0
"4"	"4"	"CCDS8660.1"	"EMP1"	"chr12"	"epithelial membrane protein 1"	7	5.1e-11	1.89e-07	NA	1
"5"	"5"	"CCDS2340.1"	"CASP10"	"chr2"	"caspase 10, apoptosis-related cysteine peptidase"	7	1.87e-10	4.84e-07	0	0
"6"	"6"	"CCDS34000.1"	"SMR3A"	"chr4"	"submaxillary gland androgen regulated protein 3A"	6	2.07e-10	4.84e-07	0.0242	0
"7"	"7"	"CCDS3080.1"	"TF"	"chr3"	"transferrin"	7	2.28e-10	4.84e-07	0.104	0
"8"	"8"	"CCDS1474.1"	"PIGR"	"chr1"	"polymeric immunoglobulin receptor"	7	3.4e-09	6.3e-06	0.294	0
"9"	"9"	"CCDS7626.1"	"TACC2"	"chr10"	"transforming, acidic coiled-coil containing protein 2"	7	2.51e-08	4.14e-05	0	0
"10"	"10"	"CCDS6581.1"	"CD72"	"chr9"	"CD72 molecule"	7	8.34e-08	0.000112	0.148	0
"11"	"11"	"CCDS4927.1"	"RHAG"	"chr6"	"Rh-associated glycoprotein"	7	8.34e-08	0.000112	0	0
"12"	"12"	"CCDS42814.1"	"FN1"	"chr2"	"fibronectin 1"	7	1.02e-07	0.000126	0.0373	0
"13"	"13"	"CCDS30866.1"	"SPRR2E"	"chr1"	"small proline-rich protein 2E"	7	1.13e-07	0.000128	0	0
"14"	"14"	"CCDS11383.2"	"KRTAP4-4"	"chr17"	"keratin associated protein 4-4"	4	1.52e-07	0.00015	0.155	0
"15"	"15"	"CCDS6826.1"	"C5"	"chr9"	"complement component 5"	6	1.52e-07	0.00015	0.0247	0
"16"	"16"	"CCDS9631.1"	"CTSG"	"chr14"	"cathepsin G"	7	4.13e-07	0.000383	0.131	1
"17"	"17"	"CCDS30867.1"	"SPRR2F"	"chr1"	"small proline-rich protein 2F"	6	4.56e-07	0.000398	0	0
"18"	"18"	"CCDS1165.1"	"FCRL5"	"chr1"	"Fc receptor-like 5"	6	5.04e-07	0.000416	0.233	0
"19"	"19"	"CCDS1030.1"	"IVL"	"chr1"	"involucrin"	4	6.81e-07	0.000532	0.475	0
"20"	"20"	"CCDS10541.1"	"EMP2"	"chr16"	"epithelial membrane protein 2"	7	1.02e-06	0.000685	0.0354	1
"21"	"21"	"CCDS8885.1"	"MUCL1"	"chr12"	"mucin-like 1"	4	1.02e-06	0.000685	NA	0
"22"	"22"	"CCDS12994.1"	"C20orf96"	"chr20"	"chromosome 20 open reading frame 96"	6	1.02e-06	0.000685	0.125	1
"23"	"23"	"CCDS11898.1"	"DSG3"	"chr18"	"desmoglein 3 (pemphigus vulgaris antigen)"	6	1.12e-06	0.000724	0.0652	0
"24"	"24"	"CCDS13984.1"	"APOBEC3G"	"chr22"	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G"	6	1.24e-06	0.000767	0.153	0
"25"	"25"	"CCDS41423.1"	"SPTA1"	"chr1"	"spectrin, alpha, erythrocytic 1 (elliptocytosis 2)"	4	1.85e-06	0.0011	0.106	0
"26"	"26"	"CCDS42656.1"	"RAD51AP2"	"chr2"	"RAD51-associated protein 2"	4	3.37e-06	0.00192	0.332	0
"27"	"27"	"CCDS12584.1"	"CEACAM5"	"chr19"	"carcinoembryonic antigen-related cell adhesion molecule 5"	4	3.73e-06	0.00205	0.0647	0
"28"	"28"	"CCDS42331.1"	"KRTAP4-3"	"chr17"	"keratin associated protein 4-3"	3	4.12e-06	0.00218	0.155	0
"29"	"29"	"CCDS12840.1"	"FPR2"	"chr19"	"formyl peptide receptor 2"	5	6.14e-06	0.00314	0.0646	0
"30"	"30"	"CCDS32650.1"	"KRTAP4-5"	"chr17"	"keratin associated protein 4-5"	4	7.5e-06	0.00371	0.155	0
"31"	"31"	"CCDS42590.1"	"SLC6A16"	"chr19"	"solute carrier family 6, member 16"	4	8.29e-06	0.00397	0.0848	0
"32"	"32"	"CCDS5471.1"	"C7orf44"	"chr7"	"chromosome 7 open reading frame 44"	6	9.17e-06	0.00425	0	1
"33"	"33"	"CCDS7191.1"	"GJD4"	"chr10"	"gap junction protein, delta 4, 40.1kDa"	6	1.01e-05	0.00456	0.0748	0
"34"	"34"	"CCDS43122.1"	"RG9MTD1"	"chr3"	"RNA (guanine-9-) methyltransferase domain containing 1"	4	1.12e-05	0.00475	0.213	0
"35"	"35"	"CCDS5229.1"	"AKAP12"	"chr6"	"A kinase (PRKA) anchor protein 12"	7	1.12e-05	0.00475	0	0
"36"	"36"	"CCDS12586.2"	"CEACAM3"	"chr19"	"carcinoembryonic antigen-related cell adhesion molecule 3"	5	1.37e-05	0.00564	0.0647	0
"37"	"37"	"CCDS32620.1"	"SLFN13"	"chr17"	"schlafen family member 13"	3	1.51e-05	0.0059	0.0355	1
"38"	"38"	"CCDS8257.1"	"NDUFC2"	"chr11"	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa"	5	1.67e-05	0.0059	0.271	0
